PSNR:
Method,astronaut.png,brick.png,chelsea.png,color.png,moon.png,page.png,text.png
benchmark,0.053291160118798184,0.048925028520678,0.07274694297047797,0.01852266728172747,0.01793283873085993,0.12075040222701984,0.040350523530605836
bicubic,0.056484836671071216,0.05051064169190195,0.07718780611597198,0.018561492036275933,0.019543884237005142,0.13122935543110142,0.043842032018605856
lanczos,0.05733686414082962,0.05119539116929801,0.07822209458289475,0.018571365986198136,0.020415824155768467,0.13369705215693295,0.045315959141845094
linear,0.053291160118798184,0.048925028520678,0.07274694297047797,0.01852266728172747,0.01793283873085993,0.12075040222701984,0.040350523530605836
nearest,0.0584285036030372,0.05049804985661903,0.07762219112393798,0.0187876342485718,0.01893499505330662,0.13121481854068368,0.04703682851100248
proposed_algorithm,0.0620971579357183,0.05484028266343458,0.07578701694387228,0.017697281759104573,0.019443723003258095,0.13394441760371356,0.05297076739635876

SSIM:
Method,astronaut.png,brick.png,chelsea.png,color.png,moon.png,page.png,text.png
affine_transform,0.9351567185430777,0.9353537905797691,0.8362986801090946,0.9929262737300754,0.9555436995285256,0.7894455527392453,0.9136173508045718
benchmark_custom,0.8811670340189754,0.8793671487555957,0.7790168519245002,0.9892963990217761,0.9275775037110481,0.6919389804624301,0.8427922741728003
benchmark,0.9390379780930435,0.9401686968495295,0.8221777816423483,0.9920555349700747,0.9619287898666986,0.726880862116123,0.9272827561165974
bicubic,0.9334931652750308,0.9366573064507586,0.8088068387634768,0.9916673858333821,0.9573924702308308,0.7094710614383092,0.917357800076494
lanczos,0.9317413654616036,0.935383022896595,0.8058877118566108,0.9916141532295326,0.9557392995677713,0.7029928005088429,0.9133671060295275
linear,0.9390379780930435,0.9401686968495295,0.8221777816423483,0.9920555349700747,0.9619287898666986,0.726880862116123,0.9272827561165974
nearest,0.9218173376102171,0.9280584954263128,0.8039784432577632,0.990368575770258,0.9507231541672029,0.7078905625147387,0.9013720445941242
proposed_algorithm,0.9148168557468582,0.918474034663376,0.8094758282541453,0.9901534334398959,0.9483438154139996,0.7089857476656541,0.8837037095465401

