Image,Method,Metric,Value
./assets/standard_test_images/chelsea.png,dlr,RE,0.05378168824985954
./assets/standard_test_images/chelsea.png,lanczos,RE,0.0353674795839621
./assets/standard_test_images/chelsea.png,linear,RE,0.0353674795839621
./assets/standard_test_images/chelsea.png,nearest,RE,0.0353674795839621
./assets/standard_test_images/chelsea.png,benchmark_custom,SSIM,0.9953881714117807
./assets/standard_test_images/chelsea.png,benchmark,SSIM,0.9953881714117807
./assets/standard_test_images/chelsea.png,bicubic,SSIM,0.9953881714117807
./assets/standard_test_images/chelsea.png,dlr,SSIM,0.9883208663018036
./assets/standard_test_images/chelsea.png,lanczos,SSIM,0.9953881714117807
./assets/standard_test_images/chelsea.png,linear,SSIM,0.9953881714117807
./assets/standard_test_images/chelsea.png,nearest,SSIM,0.9953881714117807
./assets/standard_test_images/chessboard_GRAY.png,benchmark_custom,CC,0.9999999999999999
./assets/standard_test_images/chessboard_GRAY.png,benchmark,CC,0.9999999999999999
./assets/standard_test_images/chessboard_GRAY.png,bicubic,CC,0.9999999999999999
./assets/standard_test_images/chessboard_GRAY.png,dlr,CC,0.9996055301983234
./assets/standard_test_images/chessboard_GRAY.png,lanczos,CC,0.9999999999999999
./assets/standard_test_images/chessboard_GRAY.png,linear,CC,0.9999999999999999
./assets/standard_test_images/chessboard_GRAY.png,nearest,CC,0.9999999999999999
./assets/standard_test_images/chessboard_GRAY.png,benchmark_custom,LMSE,0.0
./assets/standard_test_images/chessboard_GRAY.png,benchmark,LMSE,0.0
./assets/standard_test_images/chessboard_GRAY.png,bicubic,LMSE,0.0
./assets/standard_test_images/chessboard_GRAY.png,dlr,LMSE,74.076
./assets/standard_test_images/chessboard_GRAY.png,lanczos,LMSE,0.0
./assets/standard_test_images/chessboard_GRAY.png,linear,LMSE,0.0
./assets/standard_test_images/chessboard_GRAY.png,nearest,LMSE,0.0
./assets/standard_test_images/chessboard_GRAY.png,benchmark_custom,MSE,0.0
./assets/standard_test_images/chessboard_GRAY.png,benchmark,MSE,0.0
./assets/standard_test_images/chessboard_GRAY.png,bicubic,MSE,0.0
./assets/standard_test_images/chessboard_GRAY.png,dlr,MSE,11.7426
./assets/standard_test_images/chessboard_GRAY.png,lanczos,MSE,0.0
./assets/standard_test_images/chessboard_GRAY.png,linear,MSE,0.0
./assets/standard_test_images/chessboard_GRAY.png,nearest,MSE,0.0
./assets/standard_test_images/chessboard_GRAY.png,benchmark_custom,NAE,0.0
./assets/standard_test_images/chessboard_GRAY.png,benchmark,NAE,0.0
./assets/standard_test_images/chessboard_GRAY.png,bicubic,NAE,0.0
./assets/standard_test_images/chessboard_GRAY.png,dlr,NAE,0.0018894117647058823
./assets/standard_test_images/chessboard_GRAY.png,lanczos,NAE,0.0
./assets/standard_test_images/chessboard_GRAY.png,linear,NAE,0.0
./assets/standard_test_images/chessboard_GRAY.png,nearest,NAE,0.0
./assets/standard_test_images/chessboard_GRAY.png,benchmark_custom,PSNR,361.20199909921956
./assets/standard_test_images/chessboard_GRAY.png,benchmark,PSNR,361.20199909921956
./assets/standard_test_images/chessboard_GRAY.png,bicubic,PSNR,361.20199909921956
./assets/standard_test_images/chessboard_GRAY.png,dlr,PSNR,37.43316093544387
./assets/standard_test_images/chessboard_GRAY.png,lanczos,PSNR,361.20199909921956
./assets/standard_test_images/chessboard_GRAY.png,linear,PSNR,361.20199909921956
./assets/standard_test_images/chessboard_GRAY.png,nearest,PSNR,361.20199909921956
./assets/standard_test_images/chessboard_GRAY.png,benchmark_custom,RE,0.0
./assets/standard_test_images/chessboard_GRAY.png,benchmark,RE,0.0
./assets/standard_test_images/chessboard_GRAY.png,bicubic,RE,0.0
